tolerance=1e-06 iterations=341 n=15
Eigenvalue_0: 9.83794
rho: u_a: u_n:
0 0 0
0.0588235 0.19509 -0.0468983
0.117647 0.382683 0.144443
0.176471 0.55557 0.196424
0.235294 0.707107 0.25
0.294118 0.83147 0.293969
0.352941 0.92388 0.326641
0.411765 0.980785 0.34676
0.470588 1 0.353553
0.529412 0.980785 0.34676
0.588235 0.92388 0.326641
0.647059 0.83147 0.293969
0.705882 0.707107 0.25
0.764706 0.55557 0.196424
0.823529 0.382683 0.135299
0.882353 0 0.0689748
1 0 0
