tolerance=1e-06 iterations=138 n=10
Eigenvalue_0: 9.8027
rho: u_a: u_n:
0 0 0
0.0833333 0.281733 0.120131
0.166667 0.540641 0.23053
0.25 0.75575 0.322253
0.333333 0.909632 0.387868
0.416667 0.989821 0.422061
0.5 0.989821 0.422061
0.583333 0.909632 0.387868
0.666667 0.75575 0.322253
0.75 0.540641 0.23053
0.833333 0 0.120131
1 0 0
